Date,Mantas,Plankton,Boats,Tour,High tide,Low tide
1/1/2024,2,4,1,1,1.785,0.232
1/1/2024,2,4,1,2,0.913,0.37
1/2/2024,6,5,1,1,1.626,0.418
1/2/2024,6,5,1,2,0.972,0.336
1/3/2024,3,4,1,1,1.457,0.616
1/3/2024,8,5,1,2,1.137,0.28
1/4/2024,5,5,1,1,1.288,0.784
1/4/2024,8,5,2,2,1.288,0.201
1/5/2024,4,3,2,1,1.367,0.826
1/5/2024,5,4,2,2,1.134,0.101
1/7/2024,3,1,1,1,0.933,-0.133
1/7/2024,4,4,1,2,1.859,0.652
1/11/2024,3,4,1,1,2.483,0.341
1/11/2024,4,5,1,2,1.033,-0.421
1/14/2024,2,4,1,1,2.304,0.191
1/14/2024,5,5,1,2,1.155,0.02
1/15/2024,2,3,1,1,2.1,0.147
1/19/2024,5,3,1,1,1.041,0.822
1/19/2024,12,3,1,2,1.041,-0.021
1/25/2024,7,4,1,1,2.147,0.321
1/25/2024,3,4,1,2,1.008,-0.225
1/26/2024,5,3,2,1,2.115,0.285
1/26/2024,3,3,2,2,1.061,-0.173
1/27/2024,7,4,1,1,1.097,-0.079
1/27/2024,6,4,2,2,2.058,0.254
1/28/2024,5,4,1,1,1.971,0.229
1/28/2024,10,4,1,2,1.118,0.054
2/2/2024,8,5,2,1,1.15,0.78
2/2/2024,13,5,2,2,1.36,0.14
2/3/2024,7,5,2,1,0.99,0.82
2/3/2024,6,5,2,2,0.99,0.1
2/4/2024,4,5,1,1,1.57,0.01
2/4/2024,6,5,1,2,1.57,0.01
2/5/2024,3,3,2,1,1.8,0.56
2/5/2024,3,4,1,2,0.73,-0.12
2/6/2024,5,4,1,1,2.03,0.45
2/6/2024,6,4,1,2,0.79,-0.25
2/7/2024,5,4,1,1,2.22,0.35
2/7/2024,7,4,1,2,0.92,-0.37
2/8/2024,5,4,1,1,2.36,0.26
2/8/2024,7,4,1,2,1.07,-0.43
2/9/2024,3,4,1,1,2.43,0.17
2/9/2024,2,4,1,2,1.22,-0.42
2/10/2024,4,4,1,1,2.41,0.09
2/10/2024,8,5,1,2,1.34,-0.31
2/12/2024,7,4,1,1,2.1,-0.04
2/12/2024,7,4,1,2,1.5,0.11
2/13/2024,10,5,1,1,1.84,-0.07
2/13/2024,10,5,1,2,1.52,-0.07
2/14/2024,10,5,1,1,1.55,0.38
2/14/2024,7,5,1,2,1.51,-0.06
2/15/2024,6,3,1,1,1.25,0.64
2/15/2024,16,3,1,2,1.53,-0.03
2/17/2024,5,3,2,1,0.06,0.06
2/17/2024,7,3,1,2,0.06,0.06
2/18/2024,5,3,1,1,1.74,0.5
2/18/2024,0,1,1,2,0.62,0.04
2/19/2024,1,3,1,1,1.84,0.41
2/19/2024,3,1,1,2,0.67,-0.01
2/20/2024,3,5,1,1,1.91,0.35
2/20/2024,2,1,1,2,0.79,-0.09
2/21/2024,5,5,1,1,1.95,0.29
2/21/2024,10,5,1,2,0.93,-0.15
2/22/2024,4,4,1,1,1.97,0.24
2/22/2024,6,3,1,2,1.06,-0.17
2/23/2024,8,4,1,1,1.97,0.19
2/23/2024,5,3,2,2,1.18,-0.16
2/24/2024,5,4,1,1,1.94,0.13
2/24/2024,6,4,1,2,1.27,-0.1
2/25/2024,2,2,2,1,1.88,0.09
2/25/2024,3,2,2,2,1.34,-0.01
2/26/2024,1,1,1,1,1.79,0.05
2/26/2024,1,1,1,2,1.39,0.12
2/27/2024,3,1,1,1,1.65,0.03
2/27/2024,0,1,1,2,1.41,0.26
2/28/2024,0,1,1,1,1.49,0.02
2/28/2024,2,4,1,2,1.41,1.41
2/29/2024,7,2,1,1,1.31,0.42
2/29/2024,9,5,1,2,1.29,0.02
3/1/2024,5,1,1,1,1.14,0.59
3/1/2024,12,4,1,2,1.36,0.03
3/2/2024,1,1,1,1,0.99,0.74
3/2/2024,1,4,1,2,1.4,0.06
3/3/2024,0,1,1,1,1.56,0.09
3/3/2024,3,4,1,2,1.56,0.09
3/4/2024,1,1,1,1,0.06,0.06
3/4/2024,4,4,1,2,0.06,0.06
3/5/2024,4,2,1,1,1.77,0.44
3/5/2024,6,4,1,2,0.65,-0.06
3/6/2024,9,5,1,1,1.97,0.33
3/6/2024,14,5,1,2,0.82,-0.19
3/7/2024,5,4,1,1,2.13,0.2
3/7/2024,8,5,1,2,1.05,-0.28
3/8/2024,2,4,1,1,2.23,0.08
3/8/2024,5,4,1,2,1.29,-0.32
3/10/2024,4,3,1,1,2.15,-0.14
3/10/2024,8,5,1,2,1.69,-0.14
3/11/2024,5,4,1,1,1.98,-0.21
3/11/2024,7,5,1,2,1.81,0.03
3/12/2024,6,4,2,1,1.75,-0.24
3/12/2024,11,5,1,2,1.85,0.24
3/16/2024,5,5,1,1,1.59,0.06
3/16/2024,8,5,2,2,1.59,0.06
3/17/2024,6,5,1,1,0.17,0.17
3/17/2024,9,5,2,2,0.17,0.17
3/18/2024,7,4,1,1,1.62,0.37
3/18/2024,7,5,1,2,0.56,0.17
3/19/2024,9,5,1,1,1.68,0.3
3/19/2024,8,5,1,2,0.72,0.11
3/20/2024,8,5,2,1,1.72,0.25
3/20/2024,7,5,2,2,0.9,0.04
3/21/2024,10,5,2,1,1.75,0.18
3/21/2024,12,5,2,2,1.08,-0.01
3/22/2024,7,3,2,1,1.76,0.12
3/22/2024,12,4,1,2,1.25,-0.02
3/23/2024,8,4,1,1,1.75,0.04
3/23/2024,6,3,1,2,1.4,0
3/24/2024,9,3,1,1,1.7,-0.03
3/24/2024,8,4,1,2,1.53,0.06
3/25/2024,4,3,1,1,1.62,-0.08
3/26/2024,6,5,1,1,1.51,-0.11
3/26/2024,11,5,2,2,1.68,0.23
3/27/2024,9,5,2,1,1.37,-0.13
3/27/2024,14,5,2,2,1.7,0.34
3/28/2024,4,4,2,1,1.22,-0.13
3/28/2024,15,4,2,2,1.68,-0.13
3/29/2024,9,4,1,1,1.07,0.46
3/29/2024,12,4,1,2,1.62,-0.11
3/30/2024,8,4,1,1,0.93,0.58
3/30/2024,9,5,2,2,1.56,-0.07
3/31/2024,6,1,2,1,0.81,0.66
3/31/2024,15,4,2,2,1.54,0
4/1/2024,6,5,1,1,1.63,0.09
4/1/2024,10,5,1,2,1.63,0.09
4/2/2024,9,5,1,1,0.12,0.12
4/2/2024,9,5,2,2,0.12,0.12
4/3/2024,7,5,1,1,1.77,0.33
4/3/2024,11,5,2,2,0.71,0.06
4/4/2024,10,4,2,1,1.9,0.19
4/4/2024,14,5,2,2,0.98,-0.02
4/5/2024,11,5,2,1,1.98,0.04
4/5/2024,14,5,2,2,1.29,-0.06
4/6/2024,8,5,2,1,1.99,-0.1
4/6/2024,5,5,2,2,1.59,-0.06
4/7/2024,6,5,1,1,1.92,-0.23
4/7/2024,12,5,1,2,1.85,0
4/8/2024,7,5,2,1,1.78,-0.33
4/8/2024,14,5,2,2,2.04,0.1
4/9/2024,7,4,1,1,1.58,-0.38
4/9/2024,6,4,2,2,2.13,0.22
4/10/2024,4,5,1,1,1.36,-0.37
4/10/2024,6,5,2,2,2.13,-0.37
4/11/2024,4,5,1,1,1.13,0.35
4/11/2024,6,5,1,2,2.04,-0.31
4/12/2024,6,3,1,1,0.91,0.46
4/12/2024,3,3,2,2,1.88,-0.2
4/13/2024,8,1,1,1,0.73,0.54
4/13/2024,6,1,1,2,1.71,-0.06
4/14/2024,3,1,1,1,1.59,0.1
4/14/2024,1,1,1,2,1.59,0.1
4/15/2024,2,3,1,1,1.56,0.25
4/15/2024,3,3,1,2,1.56,0.25
4/16/2024,4,3,2,1,0.62,0.32
4/16/2024,2,2,2,2,0.62,0.3
4/18/2024,10,4,1,1,1.56,0.18
4/18/2024,13,4,1,2,1.04,0.24
4/19/2024,5,4,1,1,1.56,0.1
4/19/2024,7,1,1,2,1.25,0.22
4/20/2024,8,4,1,1,1.54,0.01
4/20/2024,10,4,1,2,1.45,0.22
4/21/2024,6,4,1,1,1.49,-0.08
4/21/2024,7,4,1,2,1.63,0.23
4/22/2024,8,4,1,1,1.43,-0.15
4/22/2024,10,4,1,2,1.78,0.26
4/23/2024,5,4,1,1,1.33,-0.21
4/23/2024,7,4,1,2,1.88,0.3
4/24/2024,4,4,1,1,1.22,-0.24
4/24/2024,4,4,1,2,1.94,0.35
4/26/2024,4,4,1,1,0.98,-0.23
4/26/2024,6,5,1,2,1.92,-0.23
4/27/2024,5,5,1,1,0.87,0.48
4/27/2024,5,5,1,2,1.86,-0.19
4/28/2024,3,5,1,1,0.77,0.53
4/28/2024,6,5,1,2,1.79,-0.11
4/29/2024,4,5,1,1,0.66,0.54
4/29/2024,8,5,1,2,1.74,-0.01
5/1/2024,5,4,1,1,0.63,0.35
5/1/2024,6,4,1,2,1.79,0.24
5/2/2024,6,4,1,1,0.9,0.21
5/2/2024,2,3,1,2,0.9,0.27
5/3/2024,1,2,1,1,1.79,0.06
5/4/2024,2,4,1,1,1.76,-0.1
5/4/2024,3,4,1,2,1.57,0.26
5/5/2024,6,5,1,1,1.67,-0.24
5/5/2024,8,5,1,2,1.89,0.26
5/7/2024,6,4,1,1,1.39,-0.43
5/7/2024,7,3,1,2,2.28,0.32
5/8/2024,7,4,1,1,1.22,-0.44
5/8/2024,7,4,1,2,2.33,0.36
5/9/2024,6,3,1,1,1.05,-0.4
5/9/2024,7,5,1,2,2.28,-0.4
5/10/2024,5,5,1,1,0.89,0.39
5/10/2024,8,5,1,2,2.16,-0.31
5/11/2024,5,5,1,1,0.76,0.43
5/11/2024,6,5,1,2,2,-0.18
5/12/2024,6,5,1,1,0.66,0.45
5/12/2024,6,5,1,2,1.82,-0.03
5/13/2024,4,5,1,1,0.57,0.44
5/13/2024,7,5,1,2,1.67,0.14
5/14/2024,6,5,1,1,0.56,0.38
5/14/2024,5,5,1,2,1.57,0.3
5/16/2024,3,5,1,1,0.93,0.24
5/16/2024,12,5,1,2,1.45,0.48
5/19/2024,7,5,1,1,1.33,-0.04
5/19/2024,16,5,1,2,1.63,0.47
5/20/2024,7,5,1,1,1.25,-0.13
5/20/2024,12,5,1,2,1.82,0.45
5/21/2024,6,5,1,1,1.17,-0.21
5/21/2024,8,5,1,2,1.98,0.44
5/22/2024,6,5,1,1,1.09,-0.27
5/22/2024,8,5,1,2,2.09,0.43
5/23/2024,6,5,2,1,1.01,-0.3
5/23/2024,8,5,1,2,2.15,0.43
5/24/2024,5,5,2,1,0.93,-0.31
5/24/2024,7,5,2,2,2.17,0.44
5/25/2024,6,1,2,1,0.86,-0.28
5/25/2024,7,3,2,2,2.15,-0.28
5/26/2024,4,5,1,1,0.8,0.45
5/26/2024,4,5,1,2,2.1,-0.22
5/28/2024,6,4,1,1,0.69,0.43
5/28/2024,7,4,1,2,1.95,0.04
5/29/2024,5,5,1,1,0.7,0.36
5/29/2024,7,5,1,2,1.86,0.23
5/30/2024,2,3,1,1,0.87,0.25
5/30/2024,5,4,1,2,1.76,0.42
5/31/2024,6,4,1,1,1.17,0.11
5/31/2024,5,4,1,2,1.64,0.53
6/2/2024,4,5,1,1,1.83,-0.17
6/2/2024,4,5,1,2,1.83,0.56
6/3/2024,4,4,1,1,1.35,-0.28
6/3/2024,4,5,1,2,2.1,0.52
6/4/2024,7,4,1,1,1.21,-0.36
6/4/2024,10,4,1,2,2.29,0.48
6/5/2024,4,4,1,1,1.08,-0.4
6/5/2024,10,4,1,2,2.38,0.45
6/6/2024,4,4,1,1,0.98,-0.39
6/6/2024,10,4,1,2,2.39,0.42
6/7/2024,7,3,1,1,0.9,-0.34
6/7/2024,14,5,1,2,2.33,-0.34
6/8/2024,6,5,1,1,0.84,0.41
6/8/2024,15,5,1,2,2.22,-0.26
6/9/2024,8,5,1,1,0.79,0.4
6/9/2024,12,5,1,2,2.09,-0.14
6/10/2024,8,5,1,1,0.76,0.4
6/10/2024,12,5,1,2,1.94,0.01
6/11/2024,2,5,1,1,0.73,0.4
6/11/2024,10,5,1,2,1.79,0.17
6/12/2024,5,5,1,1,0.75,0.37
6/12/2024,7,5,1,2,1.65,0.35
6/13/2024,7,4,1,1,0.85,0.33
6/13/2024,7,4,1,2,1.51,0.54
6/14/2024,5,3,1,1,1.05,0.26
6/14/2024,4,2,1,2,1.38,0.68
6/15/2024,5,3,1,1,1.29,0.17
6/15/2024,5,5,1,2,1.27,0.73
6/16/2024,4,3,1,1,1.53,0.08
6/17/2024,5,4,1,1,1.75,-0.01
6/17/2024,7,4,1,2,1.75,0.66
6/26/2024,3,2,1,1,0.94,0.31
6/26/2024,4,3,1,2,2.06,0.14
6/27/2024,4,1,1,1,1.01,0.25
6/27/2024,5,3,1,2,1.86,0.39
6/28/2024,4,3,1,1,1.19,0.17
6/28/2024,5,5,1,2,1.64,0.64
6/29/2024,4,1,1,1,1.46,0.07
6/29/2024,4,3,1,2,1.42,0.79
6/30/2024,1,1,1,1,1.75,-0.04
6/30/2024,4,3,1,2,1.23,0.8
7/1/2024,3,2,1,1,2.01,-0.13
7/1/2024,2,2,1,2,1.08,0.72
7/2/2024,1,1,1,1,2.21,-0.2
7/2/2024,3,3,1,2,2.21,0.62
7/3/2024,2,3,1,1,0.98,-0.25
7/3/2024,2,5,1,2,2.33,0.54
7/4/2024,3,4,1,1,0.94,-0.28
7/4/2024,3,1,1,2,2.38,0.48
7/5/2024,3,3,1,1,0.94,-0.28
7/5/2024,7,4,1,2,2.37,0.44
7/6/2024,3,2,1,1,0.95,-0.24
7/6/2024,4,3,1,2,2.32,0.41
7/7/2024,7,2,1,1,0.97,-0.18
7/7/2024,8,4,1,2,2.24,-0.18
7/8/2024,5,3,1,1,0.99,0.39
7/8/2024,7,4,1,2,2.14,-0.07
7/9/2024,6,3,1,1,1,0.37
7/9/2024,7,4,1,2,2.02,0.07
7/10/2024,5,1,1,1,1,0.35
7/10/2024,5,4,1,2,1.87,0.23
7/11/2024,5,3,1,1,1.02,0.34
7/11/2024,7,3,1,2,1.7,0.43
7/12/2024,5,3,2,1,1.07,0.32
7/12/2024,4,4,1,2,1.52,0.63
7/13/2024,6,2,2,1,1.19,0.28
7/13/2024,5,3,2,2,1.34,0.81
7/14/2024,4,2,2,1,1.39,0.23
7/14/2024,5,4,2,2,1.17,0.89
7/15/2024,3,1,2,1,1.6,0.17
7/15/2024,10,4,1,2,1.03,0.84
7/16/2024,4,4,1,1,1.82,0.08
7/16/2024,5,4,1,2,0.94,0.73
7/17/2024,1,4,1,1,2.02,-0.02
7/17/2024,2,5,2,2,2.02,0.64
7/18/2024,3,3,2,1,0.91,-0.12
7/18/2024,10,3,1,2,2.21,0.56
7/19/2024,10,4,2,1,0.94,-0.23
7/19/2024,10,5,1,2,2.35,0.49
7/21/2024,6,3,2,1,1.09,-0.32
7/21/2024,5,2,2,2,2.5,0.37
7/22/2024,6,2,2,1,1.16,-0.27
7/22/2024,10,3,1,2,2.48,0.3
7/23/2024,6,2,2,1,1.23,-0.14
7/23/2024,4,2,1,2,2.39,-0.14
7/24/2024,4,2,2,1,1.29,0.24
7/24/2024,11,3,2,2,2.22,0.05
7/25/2024,6,3,2,1,1.35,0.19
7/25/2024,5,2,2,2,1.99,0.31
7/26/2024,7,3,2,1,1.41,0.14
7/26/2024,11,3,2,2,1.72,0.58
7/27/2024,5,3,2,1,1.52,0.11
7/27/2024,6,3,2,2,1.45,0.83
7/29/2024,5,3,2,1,1.9,0.05
7/29/2024,6,3,2,2,0.99,0.81
7/30/2024,5,1,2,1,2.08,0.01
7/30/2024,10,4,2,2,0.9,0.68
7/31/2024,2,1,2,1,2.2,-0.03
7/31/2024,7,3,1,2,2.2,0.58
8/1/2024,5,2,2,1,0.91,-0.08
8/1/2024,6,4,1,2,2.27,0.51
8/2/2024,5,3,2,1,0.98,-0.12
8/2/2024,12,4,1,2,2.3,0.46
8/3/2024,5,2,1,1,1.07,-0.14
8/3/2024,10,2,1,2,2.29,0.42
8/6/2024,7,4,1,1,1.28,0.04
8/6/2024,10,5,1,2,2.11,0.31
8/7/2024,7,3,2,1,1.32,0.17
8/7/2024,12,3,2,2,1.98,0.17
8/8/2024,8,3,2,1,1.34,0.29
8/8/2024,15,4,2,2,1.82,0.34
8/10/2024,4,3,2,1,1.36,0.28
8/10/2024,4,5,2,2,1.46,0.71
8/11/2024,9,4,1,1,1.38,0.28
8/11/2024,11,3,1,2,1.28,0.88
8/12/2024,9,4,1,1,1.48,0.28
8/12/2024,11,3,1,2,1.48,0.28
8/13/2024,4,2,1,1,1.65,0.26
8/13/2024,11,4,1,2,1.65,0.26
8/14/2024,3,5,1,1,1.86,0.2
8/14/2024,11,4,1,2,0.86,0.7
8/15/2024,6,3,1,1,2.07,0.1
8/15/2024,6,3,1,2,2.07,0.61
8/16/2024,7,3,1,1,0.93,-0.03
8/16/2024,15,5,1,2,2.26,0.52
8/17/2024,7,2,1,1,1.06,-0.15
8/17/2024,10,2,1,2,2.41,0.43
8/18/2024,5,5,1,1,1.22,-0.22
8/18/2024,7,3,1,2,2.5,0.34
8/19/2024,5,1,1,1,1.39,-0.23
8/19/2024,7,3,1,2,2.51,0.24
8/20/2024,7,3,1,1,1.54,-0.14
8/20/2024,10,4,1,2,2.43,0.16
8/21/2024,10,3,1,1,1.66,0.02
8/21/2024,13,3,1,2,2.26,0.09
8/22/2024,4,2,1,1,1.75,0.24
8/22/2024,3,3,1,2,2.03,0.24
8/23/2024,4,4,1,1,1.79,0.05
8/31/2024,8,2,1,1,1.15,0.04
8/31/2024,22,4,1,2,2.17,0.4
9/1/2024,8,2,1,1,1.3,0.02
9/1/2024,20,4,1,2,2.16,0.34
9/2/2024,4,2,1,1,1.43,0.04
9/2/2024,10,3,1,2,2.12,0.29
9/3/2024,14,3,2,1,1.53,0.1
9/3/2024,22,4,1,2,2.05,0.24
9/4/2024,12,3,2,1,1.61,0.2
9/5/2024,15,3,2,1,1.67,0.32
9/5/2024,14,3,1,2,1.81,0.19
9/6/2024,11,3,2,1,1.69,0.46
9/6/2024,15,4,1,2,1.65,0.19
9/7/2024,12,4,1,1,1.68,0.61
9/7/2024,13,4,1,2,1.48,0.2
9/8/2024,5,4,1,1,1.64,0.76
9/8/2024,6,4,1,2,1.31,0.76
9/11/2024,3,5,1,1,1.71,0.31
9/11/2024,5,3,1,2,1.71,0.31
9/13/2024,5,4,1,1,2.08,0.21
9/13/2024,7,3,1,2,2.08,0.53
9/14/2024,6,3,1,1,1.03,0.09
9/14/2024,6,3,1,2,2.25,0.42
9/15/2024,7,3,2,1,1.26,-0.01
9/16/2024,7,3,1,1,1.51,-0.06
9/16/2024,18,3,1,2,2.38,0.17
9/17/2024,7,2,1,1,1.75,-0.03
9/18/2024,7,2,1,1,1.96,0.07
9/18/2024,11,3,1,2,2.18,-0.04
9/19/2024,5,2,1,1,2.1,0.23
9/19/2024,19,3,1,2,1.96,-0.09
9/20/2024,5,4,1,1,2.17,0.42
9/20/2024,5,2,1,2,1.71,-0.08
9/21/2024,5,4,1,1,2.16,0.61
9/21/2024,5,2,1,2,1.44,-0.03
9/23/2024,7,3,1,1,1.96,0.07
9/24/2024,10,5,1,2,1.9,0.2
9/23/2024,6,4,1,1,1.96,0.07
9/24/2024,10,5,1,2,1.9,0.2
9/25/2024,5,4,1,1,1.91,0.33
9/25/2024,10,4,1,2,0.8,0.56
9/26/2024,6,3,1,1,1.95,0.36
9/26/2024,7,3,1,2,1.95,0.49
9/27/2024,6,3,1,1,0.97,0.32
9/27/2024,11,4,1,2,1.98,0.43
9/28/2024,6,3,1,1,1.16,0.27
9/28/2024,10,4,1,2,1.99,0.36
9/29/2024,5,3,1,1,1.35,0.23
9/29/2024,7,3,1,2,1.98,0.29
9/30/2024,5,2,1,1,1.53,0.23
9/30/2024,6,3,1,2,1.95,0.22
10/1/2024,7,2,1,1,1.69,0.25
10/1/2024,7,3,1,2,1.89,0.15
10/2/2024,4,1,1,1,1.82,0.3
10/2/2024,5,2,1,2,1.81,0.1
10/3/2024,7,3,1,1,1.91,0.38
10/3/2024,6,4,1,2,1.69,0.06
10/4/2024,8,4,1,1,1.96,0.46
10/4/2024,15,5,1,2,1.55,0.06
10/5/2024,6,4,1,1,1.97,0.56
10/5/2024,12,4,1,2,1.4,0.07
10/6/2024,9,4,1,1,1.94,0.66
10/6/2024,12,4,1,2,1.26,0.1
10/9/2024,4,1,1,1,1.74,0.22
10/9/2024,10,2,1,2,1.81,0.31
10/10/2024,7,4,1,1,1.74,0.22
10/10/2024,8,4,1,2,1.81,0.31
10/11/2024,2,2,1,1,1.93,0.38
10/11/2024,8,3,1,2,0.91,0.54
10/12/2024,1,1,1,1,2.05,0.33
10/12/2024,2,2,1,2,2.05,0.41
10/14/2024,4,2,1,1,1.49,0.21
10/14/2024,6,2,1,2,2.15,0.1
10/15/2024,4,3,1,1,1.81,0.2
10/15/2024,6,3,1,2,2.09,-0.04
10/16/2024,4,2,1,1,2.1,0.23
10/16/2024,6,2,1,2,1.97,-0.16
10/17/2024,6,3,1,1,2.31,0.31
10/17/2024,7,3,1,2,1.79,-0.23
10/18/2024,6,3,1,1,2.44,0.41
10/18/2024,3,2,1,2,1.58,-0.24
10/19/2024,9,4,1,1,2.46,0.52
10/20/2024,5,4,1,1,2.38,0.62
10/20/2024,7,4,1,2,1.15,-0.08
10/21/2024,2,4,1,1,2.23,0.7
10/21/2024,4,4,1,2,0.97,0.7
10/22/2024,6,3,1,1,2.05,0.07
10/22/2024,12,3,1,2,2.05,0.07
10/23/2024,6,4,1,1,1.91,0.23
10/23/2024,10,4,1,2,0.71,0.58
10/24/2024,5,3,1,1,1.84,0.4
10/24/2024,6,3,1,2,0.85,0.49
10/25/2024,6,3,1,1,1.81,0.48
10/25/2024,9,5,1,2,1.81,0.42
10/27/2024,5,4,1,1,1.28,0.47
10/27/2024,5,5,1,2,1.76,0.26
10/28/2024,6,2,1,1,1.5,0.45
10/28/2024,4,2,1,2,1.72,0.17
10/29/2024,6,3,1,1,1.7,0.45
10/30/2024,7,2,1,1,1.88,0.46
11/1/2024,8,4,1,1,2.11,0.51
11/2/2024,6,5,1,1,2.16,0.54
11/3/2024,11,3,1,1,2.15,0.59
11/4/2024,6,2,1,1,2.11,0.64
11/4/2024,7,2,1,2,1.06,-0.01
11/6/2024,5,2,1,1,1.97,0.7
11/6/2024,5,2,2,2,0.87,0.16
11/7/2024,11,3,1,1,1.92,0.64
11/7/2024,13,3,1,2,0.77,0.64
11/8/2024,4,2,2,1,1.9,0.29
11/8/2024,7,1,2,2,0.79,0.54
11/9/2024,7,2,2,1,1.92,0.42
11/9/2024,11,2,2,2,1.03,0.41
11/10/2024,5,1,2,1,1.92,0.48
11/10/2024,5,1,1,2,1.92,0.25
11/11/2024,4,2,2,1,1.36,0.48
11/11/2024,5,2,1,2,1.89,0.08
11/12/2024,1,5,1,1,1.71,0.47
11/12/2024,1,2,2,2,1.81,-0.08
11/13/2024,1,3,1,2,1.69,-0.22
11/14/2024,1,4,2,1,2.32,0.45
11/15/2024,4,4,1,1,2.51,0.47
11/15/2024,5,3,1,2,1.39,-0.35
11/16/2024,2,3,1,1,2.58,0.49
11/18/2024,2,2,1,1,2.44,0.54
11/19/2024,4,2,1,2,0.86,0.04
11/20/2024,5,3,1,1,2.09,0.56
11/21/2024,5,3,2,1,1.92,0.21
11/21/2024,9,3,1,2,0.75,0.51
11/22/2024,5,3,2,1,1.77,0.4
11/23/2024,2,3,1,1,1.67,0.56
11/23/2024,5,1,1,2,1.1,0.36
11/24/2024,7,3,1,1,1.58,0.64
11/24/2024,7,2,1,2,1.58,0.28
11/25/2024,5,3,2,1,1.33,0.67
11/26/2024,5,2,2,1,1.57,0.66
11/26/2024,9,3,1,2,1.41,0.08
11/27/2024,7,3,2,1,1.78,0.63
11/27/2024,12,3,2,2,1.33,-0.01
11/28/2024,5,2,2,1,1.96,0.59
11/28/2024,5,2,1,2,1.25,-0.08
11/29/2024,2,2,2,1,2.1,0.56
11/29/2024,4,1,1,2,1.18,-0.14
11/30/2024,2,2,1,2,1.11,-0.18
12/1/2024,4,3,1,1,2.24,0.53
12/1/2024,7,3,2,2,1.05,-0.19
12/2/2024,4,2,2,1,2.25,0.53
12/3/2024,6,3,2,1,2.24,0.54
12/3/2024,11,4,2,2,0.94,-0.12
12/4/2024,11,3,2,1,2.19,0.54
12/5/2024,4,2,2,1,2.13,0.53
12/5/2024,8,3,2,2,0.84,0.1
12/6/2024,5,2,2,1,2.05,0.48
12/6/2024,5,3,2,2,0.83,0.48
12/7/2024,8,2,2,1,1.94,0.28
12/7/2024,5,1,2,2,0.93,0.38
12/9/2024,5,2,2,1,1.69,0.65
12/9/2024,14,2,2,2,1.69,0.1
12/10/2024,5,2,2,1,1.53,0.7
12/10/2024,8,3,1,2,1.55,-0.05
12/11/2024,5,4,2,1,1.87,0.68
12/11/2024,0,,1,2,1.4,-0.19
12/12/2024,6,2,2,1,2.17,0.61
12/13/2024,2,1,2,1,2.39,0.54
12/13/2024,3,3,1,2,1.16,-0.36
12/14/2024,4,2,2,1,2.51,0.49
12/14/2024,6,3,1,2,1.07,-0.38
12/15/2024,4,2,2,1,2.54,0.45
12/15/2024,4,2,1,2,1.02,-0.35
12/16/2024,4,2,1,1,2.49,0.43
12/16/2024,4,3,1,2,0.97,-0.27
12/17/2024,6,3,1,1,2.39,0.42
12/17/2024,7,3,1,2,0.93,-0.16
12/18/2024,6,3,1,1,2.25,0.42
12/18/2024,5,2,1,2,0.9,-0.01
12/19/2024,4,2,2,1,2.08,0.42
12/19/2024,5,2,1,2,0.87,0.42
12/20/2024,2,2,1,1,1.9,0.17
12/20/2024,1,1,1,2,0.87,0.41
12/21/2024,1,2,1,1,1.72,0.37
12/21/2024,1,2,1,2,0.93,0.37
12/23/2024,2,2,1,1,1.38,0.74
12/23/2024,2,2,1,2,1.38,0.24
12/24/2024,5,2,1,1,1.32,0.81
12/24/2024,5,2,1,2,1.23,0.15
12/25/2024,6,2,1,1,1.55,0.77
12/25/2024,4,2,1,2,1.11,0.06
12/26/2024,4,3,1,1,1.75,0.7
12/28/2024,3,2,2,1,2.08,0.54
12/28/2024,4,3,2,2,0.94,-0.19
12/29/2024,4,3,1,1,2.19,0.49
12/29/2024,4,3,2,2,0.94,-0.26
12/31/2024,5,3,2,1,2.31,0.41
12/31/2024,7,1,2,2,2.31,-0.29